from_account,to_account,amount,timestamp,bank_from,bank_to,device_id,is_fraud,topology,flag_ids
VICTIM_STAR_0002,MULE_STAR_0001,22495.62,2026-03-15T10:01:59,CANARA,PAYTM,DEV_39256,True,star,"['F3', 'F2']"
VICTIM_STAR_0003,MULE_STAR_0001,32635.25,2026-03-15T10:02:22,SBI,PAYTM,DEV_39256,True,star,"['F3', 'F2']"
VICTIM_STAR_0004,MULE_STAR_0001,91577.05,2026-03-15T10:02:52,ICICI,PAYTM,DEV_39256,True,star,"['F3', 'F2']"
VICTIM_STAR_0005,MULE_STAR_0001,36161.67,2026-03-15T10:00:22,BOB,PAYTM,DEV_39256,True,star,"['F3', 'F2']"
VICTIM_STAR_0006,MULE_STAR_0001,81352.37,2026-03-15T10:03:05,AU_SFB,PAYTM,DEV_39256,True,star,"['F3', 'F2']"
MULE_STAR_0001,CASHOUT_STAR_0007,243084.2,2026-03-15T10:05:40,PAYTM,AXIS,DEV_39256,True,star,"['F1', 'F5']"
VICTIM_STAR_0009,MULE_STAR_0008,63730.48,2026-03-15T12:01:27,BOI,YES,IMEI_69429,True,star,"['F3', 'F2']"
VICTIM_STAR_0010,MULE_STAR_0008,32569.21,2026-03-15T12:02:46,KOTAK,YES,IMEI_69429,True,star,"['F3', 'F2']"
VICTIM_STAR_0011,MULE_STAR_0008,20295.09,2026-03-15T12:04:50,PNB,YES,IMEI_69429,True,star,"['F3', 'F2']"
VICTIM_STAR_0012,MULE_STAR_0008,26429.73,2026-03-15T12:01:11,IDBI,YES,IMEI_69429,True,star,"['F3', 'F2']"
VICTIM_STAR_0013,MULE_STAR_0008,94786.06,2026-03-15T12:01:10,PAYTM,YES,IMEI_69429,True,star,"['F3', 'F2']"
VICTIM_STAR_0014,MULE_STAR_0008,78366.35,2026-03-15T12:03:36,AIRTEL,YES,IMEI_69429,True,star,"['F3', 'F2']"
MULE_STAR_0008,CASHOUT_STAR_0015,290882.77,2026-03-15T12:09:43,YES,BOB,IMEI_69429,True,star,"['F1', 'F5']"
VICTIM_STAR_0017,MULE_STAR_0016,75956.98,2026-03-15T14:04:19,BANDHAN,PAYTM,ANDROID_54587,True,star,"['F3', 'F2']"
VICTIM_STAR_0018,MULE_STAR_0016,91279.98,2026-03-15T14:04:31,PHONEPE,PAYTM,ANDROID_54587,True,star,"['F3', 'F2']"
VICTIM_STAR_0019,MULE_STAR_0016,34156.18,2026-03-15T14:02:03,IDBI,PAYTM,ANDROID_54587,True,star,"['F3', 'F2']"
